RaceID	RaceName	BallotID	BallotName	Votes	TotalVotesByRace	PartyName	RaceJurisdictionTypeName
294	 Legislative District 22 - State Representative Pos. 2	24126	Sam Hunt	0	0	(Prefers Democratic Party)	Legislative
295	 Legislative District 23 - State Senator	24717	Christine Rolfes	0	0	(Prefers Democratic Party)	Legislative
295	 Legislative District 23 - State Senator	27406	Bret A. Treadwell	0	0	(Prefers Republican Party)	Legislative
296	 Legislative District 23 - State Representative Pos. 1	23365	Sherry V. Appleton	0	0	(Prefers Democratic Party)	Legislative
296	 Legislative District 23 - State Representative Pos. 1	26725	Tony Stephens	0	0	(Prefers Republican Party)	Legislative
297	 Legislative District 23 - State Representative Pos. 2	24713	Drew Hansen	0	0	(Prefers Democratic Party)	Legislative
297	 Legislative District 23 - State Representative Pos. 2	23391	James M. Olsen	0	0	(Prefers Republican Party)	Legislative
298	 Legislative District 24 - State Senator	23378	Jim Hargrove	0	0	(Prefers Democratic Party)	Legislative
298	 Legislative District 24 - State Senator	27743	Larry Carter	0	0	(Prefers Independent Party)	Legislative
299	 Legislative District 24 - State Representative Pos. 1	22927	Kevin Van De Wege	0	0	(Prefers Democratic Party)	Legislative
